|Ubuntu!: An Inspiring Story About an African Tradition of Teamwork and Collaboration|http://img6.flixcart.com//image/book/5/4/4/ubuntu-an-inspiring-story-about-an-african-tradition-of-teamwork-and-collaboration-275x275-imad7yphuebf2qfs.jpeg|Bob Nelson, Stephen Lundin#Books%Business%Investing and Management%Business%Economics%Economic History#0770436544#9780770436544#Hardcover#2012#Random House US#N.A.#English|0770436544|9780770436544|
|The Dark Tower: The Wind Through The Keyhole|http://img6.flixcart.com//image/book/7/0/5/the-dark-tower-the-wind-through-the-keyhole-275x275-imad7gf8m5agxxq4.jpeg|Stephen King#Books%Literature and Fiction%Horror#144473170X#9781444731705#Hardcover#2012#Hodder & Stoughton#N.A.#English|144473170X|9781444731705|
|The Taliban Cricket Club|http://img8.flixcart.com/image/book/0/3/4/the-taliban-cricket-club-275x275-imad8ejpynjcjvp8.jpeg|Timeri N. Murari#Books%Literature and Fiction%Literary Collections%Literary#8192328031#9788192328034#Hardcover#2012#Aleph Book Company#N.A.#English|8192328031|9788192328034|
|Imagine: How Creativity Works|http://img6.flixcart.com/image/book/8/7/7/imagine-275x275-imad7vgpua48ahwr.jpeg|Jonah Lehrer#Books%Self-Help%Creativity#1847677878#9781847677877#Paperback#2012#Canongate Books Ltd#N.A.#English|1847677878|9781847677877|
|Superpower?: The Amazing Race between China’s Hare And India’s Tortoise|http://img8.flixcart.com/image/book/7/3/3/superpower-the-amazing-race-between-china-s-hare-and-india-s-tortoise-275x275-imad7xjjyxuvuaf3.jpeg|Raghav Bahl#Books%Business%Investing and Management%Business%International%Economics#0143418734#9780143418733#Paperback#2012#Portfolio#N.A.#English|0143418734|9780143418733|
|HBR's 10 Must Reads|http://img2.flixcart.com/image/book/0/5/9/hbr-s-must-reads-275x275-imad8w6dzcjmng8c.jpeg|Leslie A. Perlow, Harvard Business Review#Books%Business%Investing and Management%Leadership#1422184056#9781422184059#Paperback#2012#Harvard Business School Press#Boxed Set ( Set of 6 Volumes )#English|1422184056|9781422184059|
|Ladakh: Crossroads of High Asia|http://img8.flixcart.com/image/book/4/1/5/ladakh-crossroads-of-high-asia-275x275-imad8dhx7weszdzb.jpeg|Janet Rizvi#Books%History and Politics%Asia%India and South Asia#0198079419#9780198079415#Hardcover#2012#Oxford University Press#3rdEdition#English|0198079419|9780198079415|
|Williams Textbook of Endocrinology|http://img7.flixcart.com//image/book/0/8/1/williams-textbook-of-endocrinology-275x275-imad7gyxqymkasxv.jpeg|Henry M. Kronenberg, Kenneth S. Polonsky, P. Reed Larsen, Shlomo Melmed#Books%Academic and Professional%Medical%Medicine%Endocrinology and Metabolism#8131231089#9788131231081#N.A.#2012#Elsivier#12#English|8131231089|9788131231081|
|Shayad, Yaheen Se Ho (With CD)|http://img4.flixcart.com/image/book/1/2/8/shayad-yaheen-se-ho-275x275-imad94ftyfers4uh.jpeg|Satya#Books%Literature and Fiction%Poetry%Asian#9350330121#9789350330128#Hardcover#2012#Maplepress#N.A.#English, Hindi and Urdu|9350330121|9789350330128|
|Citibank Zomato Restaurant Guide 2012 (Mumbai)|http://img7.flixcart.com/image/book/9/8/3/citibank-zomato-restaurant-guides-2012-mumbai-275x275-imad88ryzdr7nv53.jpeg|ZOMATO#Books%Cooking%Food and Wine%Regional and Ethnic%General#9350094983#9789350094983#Paperback#2012#Hachette India#N.A.#English|9350094983|9789350094983|
