|Love, Life & All That Jazz...|http://img8.flixcart.com/img/054/9789381626054.jpg|Ahmed Faiyaz#Books%Literature and Fiction%Romance#9381626057#9789381626054#Paperback#2011#Grey Oak/Westland#N.A.#English|9381626057|9789381626054|
|Zero Percentile - 2.0: Missed IIT Kissed Gurgaon|http://img5.flixcart.com/img/209/9788129119209.jpg|Neeraj Chhibba#Books%Literature and Fiction%Urban Life#812911920X#9788129119209#Paperback#2011#Rupa Publications#N.A.#English|812911920X|9788129119209|
|Devil In Pinstripes|http://img6.flixcart.com/img/515/9788129115515.jpg|Ravi Subramanian#Books%Literature and Fiction%Biographical#8129115514#9788129115515#Paperback#2009#Rupa & Co#1stEdition#English|8129115514|9788129115515|
|My Love Never Faked Trust Me I Still Love You|http://img7.flixcart.com/img/220/9789380349220.jpg|Nikhil Mahajan#N.A.#9380349220#9789380349220#Paperback#2010#Shrishti Publishers & Distributors.#N.A.#English|9380349220|9789380349220|
|Where Rainbows End|http://img8.flixcart.com/img/815/9780007300815.jpg|Cecelia Ahern#Books%Literature and Fiction%Romance%Adult#0007300816#9780007300815#Paperback#2008#Harper Collins#01#English|0007300816|9780007300815|
|The Hungry Tide|http://img7.flixcart.com/img/974/9780007432974.jpg|Amitav Ghosh#Books%Literature and Fiction%General#0007432976#9780007432974#Paperback#2011#Harper Collins#N.A.#English|0007432976|9780007432974|
|Love Story|http://img6.flixcart.com/image/book/6/0/7/love-story-275x275-imad8sttd2qudauq.jpeg|Erich Segal#Books%Literature and Fiction%Romance#0380017601#9780380017607#Paperback#2002#Harper Paperbacks U.s#3rd THUS#English|0380017601|9780380017607|
|Almost Single|http://img6.flixcart.com//image/book/5/5/7/almost-single-275x275-imad74zx9whvxctm.jpeg|Advaita Kala#Books%Literature and Fiction%General#8172236557#9788172236557#Paperback#2007#Harper Collins Publishers#1stEdition#English|8172236557|9788172236557|
|In Course Of True Love!|http://img5.flixcart.com/img/497/9789380349497.jpg|Sanjeev Ranjan#Books%Literature and Fiction%Romance#9380349497#9789380349497#Paperback#2011#Srishti Publishers & Distributors#N.A.#English|9380349497|9789380349497|
|Another Chance|http://img5.flixcart.com/img/023/9789381626023.jpg|Ahmed Faiyaz#Books%Literature and Fiction%Romance#9381626023#9789381626023#Paperback#2011#Grey Oak/Westland#N.A.#English|9381626023|9789381626023|
|The Reluctant Fundamentalist|http://img7.flixcart.com/img/244/9780143064244.jpg|Mohsin Hamid#Books%Literature and Fiction%General#014306424X#9780143064244#Paperback#2008#Penguin#01#English|014306424X|9780143064244|
|Sidney Sheldon’s After The Darkness|http://img6.flixcart.com/img/170/9780007395170.jpg|Tilly Bagshawe#Books%Literature and Fiction%Suspense and Thriller#0007395175#9780007395170#Paperback#2010#Harpercollins Publishers#N.A.#English|0007395175|9780007395170|
|Gently Falls: the Bakula|http://img6.flixcart.com/img/776/9780143103776.jpg|Sudha Murthy#Books%Literature and Fiction%Romance#0143103776#9780143103776#N.A.#2009#Penguin Books India#01#English|0143103776|9780143103776|
|The Zahir|http://img5.flixcart.com/img/298/9788172236298.jpg|Paulo Coelho#Books%Literature and Fiction#8172236298#9788172236298#Paperback#2005#Harper Collins Publishers#1stEdition#English|8172236298|9788172236298|
|Zero Percentile Missed Iit Kissed Russia|http://img5.flixcart.com/img/447/9788129115447.jpg|Neeraj Chhibba#Books%Literature and Fiction%Biographical#8129115441#9788129115447#Paperback#2009#Rupa & Co#1stEdition#English|8129115441|9788129115447|
|The Extras|http://img6.flixcart.com/image/book/0/4/4/the-extras-275x275-imad8bytdr3g6bph.jpeg|Kiran Nagarkar#Books%Literature and Fiction%Others%Humorous#9350292044#9789350292044#Hardcover#2012#Fourth Estate#N.A.#English|9350292044|9789350292044|
|The Reluctant Detective|http://img6.flixcart.com/img/115/9789381626115.jpg|Kiran Manral#Books%Literature and Fiction%Contemporary Women#9381626115#9789381626115#Paperback#2011#Westland#N.A.#English|9381626115|9789381626115|
|The Pregnant King|http://img6.flixcart.com/img/476/9780143063476.jpg|Devdutt Pattanaik#Books%Indian Writing%Religion and Spirituality#0143063472#9780143063476#paperback#2008#Penguin Books India Pvt. Ltd#01#English|0143063472|9780143063476|
|Unaccustomed Earth|http://img5.flixcart.com/img/603/9788184000603.jpg|Jhumpa Lahiri#Books%Literature and Fiction%Short Stories%Short Stories (single author)#818400060X#9788184000603#Paperback#2009#Random House India#1stEdition#English|818400060X|9788184000603|
|The Forty Rules Of Love|http://img8.flixcart.com/img/188/9780141047188.jpg|Elif Shafak#Books%Literature and Fiction%Contemporary Women#0141047186#9780141047188#Paperback#2011#Penguin Books#N.A.#English|0141047186|9780141047188|
|Great Expectations|http://img6.flixcart.com/img/161/9780140623161.jpg|Charles Dickens#Books%Literature and Fiction%General#0140623167#9780140623161#perfect paperback#2007#Penguin Popular Classics#01#English|0140623167|9780140623161|
|Three Times Loser...Love never dies|http://img8.flixcart.com/img/466/9789380349466.jpg|Akash Verma#Books%Literature and Fiction%Romance%Contemporary#9380349466#9789380349466#Paperback#2011#Srishti Publishers & Distributors#N.A.#English|9380349466|9789380349466|
|Scammed: Confessions Of A Confused Accountant|http://img6.flixcart.com/img/061/9789381626061.jpg|Anonymous#Books%Literature and Fiction%Biographical#9381626065#9789381626061#Paperback#2011#Grey Oak/Westland#N.A.#English|9381626065|9789381626061|
|Love, Life & A Beer Can!|http://img5.flixcart.com//image/book/0/5/3/love-life-and-a-beer-can-275x275-imad74pvpddujrgz.jpeg|Prashant Sharma#N.A.#9380349053#9789380349053#Paperback#N.A.#Srishti Publishers & Distributors#N.A.#English|9380349053|9789380349053|
|Veronika Decides To Die|http://img8.flixcart.com/img/437/9788172235437.jpg|Paulo Coelho#N.A.#8172235437#9788172235437#Paperback#N.A.#Harper Collins Publishers Ind Ltd.#(Reissue)#English|8172235437|9788172235437|
|Master of the Game|http://img6.flixcart.com/img/874/9788172234874.jpg|Sidney Sheldon#Books%Literature and Fiction%General#8172234872#9788172234874#Paperback#2005#Harper Collins Publishers#1stEdition#English|8172234872|9788172234874|
|I Am Broke, Love Me|http://img5.flixcart.com/img/077/9789380349077.jpg|Animesh Verma#N.A.#9380349077#9789380349077#Paperback#N.A.#Srishti Publishers & Distributors#N.A.#English|9380349077|9789380349077|
|The Namesake|http://img5.flixcart.com/img/918/9780007258918.jpg|Jhumpa Lahiri#Books%Literature and Fiction%General#0007258917#9780007258918#Paperback#2007#Harper Collins India#1stEdition#English|0007258917|9780007258918|
